id,name,cost,capacity,pair
columbus-iii-azores-portugal,Columbus-III Azores-Portugal,236,0.32,2
comoros-domestic-cable-system,Comoros Domestic Cable System,,,
concerto,Concerto,25,0.0025,96
confluence-1,Confluence-1,70,500,24
converge-domestic-submarine-cable-network-cdscn,Converge Domestic Submarine Cable Network (CDSCN),,,
cook-strait,Cook Strait,,,
coral-sea-cable-system-cs,Coral Sea Cable System (CS虏),93,20,4
corse-continent-4-cc4,Corse-Continent 4 (CC4),,,
corse-continent-5-cc5,Corse-Continent 5 (CC5),,,
cross-straits-cable-network,Cross Straits Cable Network,525,,
crosschannel-fibre,CrossChannel Fibre,3.875,2400,96
crosslake-fibre,Crosslake Fibre,3.05,,96
curie,Curie,262.5,72,4
damai-cable-system,DAMAI Cable System,14.375,,
danica-north,Danica North,10,0.01,48
danice,DANICE,76,5.1,4
darwin-jakarta-singapore-cable-djsc,Darwin-Jakarta-Singapore Cable (DJSC),,,
deep-blue-one,Deep Blue One,,,
denmark-poland-2,Denmark-Poland 2,4.5,0.0025,
denmark-sweden-15,Denmark-Sweden 15,,,
denmark-sweden-16,Denmark-Sweden 16,2,0.0005,
denmark-sweden-17,Denmark-Sweden 17,0.275,,
denmark-sweden-18,Denmark-Sweden 18,,,
denpasar-waingapu-cable-systems,Denpasar-Waingapu Cable Systems,,,
dhiraagu-cable-network,Dhiraagu Cable Network,,,
dhiraagu-slt-submarine-cable-network,Dhiraagu-SLT Submarine Cable Network,27,,
didon,Didon,15,18,
djibouti-africa-regional-express-1-dare1,Djibouti Africa Regional Express 1 (DARE1),86,36,3
dos-continentes-l-ll,DOS CONTINENTES l & ll,2.625,460,24
dumai-melaka-cable-system,Dumai-Melaka Cable System,15,0.32,
dunant,Dunant,165,250,12
eac-c2c,EAC-C2C,850,30,
eastern-africa-submarine-system-eassy,Eastern Africa Submarine System (EASSy),247,11.8,2
eastern-arctic-undersea-fibre-optic-network-eaufon,Eastern Arctic Undersea Fibre Optic Network (EAUFON),250,30,6
eastern-caribbean-fiber-system-ecfs,Eastern Caribbean Fiber System (ECFS),56,1.1,6
eastern-light,Eastern Light,10.5,,72
east-west,East-West,35,2.5,
east-west-submarine-cable-system,East-West Submarine Cable System,,,
echo,Echo,255.3,144,12
eclink,ECLink,31,7.2,12
elektra-globalconnect-1-gc1,Elektra-GlobalConnect 1 (GC1),1.1,,
ellalink,EllaLink,200,72,4
e-llan,E-LLAN,,,
emerald-bridge-fibres,Emerald Bridge Fibres,3,,
energinet-laeso-varberg,Energinet Laeso-Varberg,,,
energinet-lyngsa-laeso,Energinet Lyngsa-Laeso,,,
epic-malta-sicily-cable-system-emscs,Epic Malta-Sicily Cable System (EMSCS),,,
equiano,Equiano,,12,12
esat-1,ESAT-1,15,0.0025,
esat-2,ESAT-2,6.933,0.01,
estepona-tetouan,Estepona-Tetouan,10,0.0037,
europe-india-gateway-eig,Europe India Gateway (EIG),700,3.84,
eviny-digital,Eviny Digital,,,
exa-express,EXA Express,120,53,6
exa-north-and-south,EXA North and South,320,25,4
falcon,FALCON,900,2.56,8
far-east-submarine-cable-system,Far East Submarine Cable System,50,1.6,2
farice-1,FARICE-1,25,0.02,
farland-north,Farland North,10,0.018,
faster,FASTER,350,60,6
fehmarn-blt,Fehmarn B盲lt,10,0.0025,192
