id,name,cost,capacity,pair
tenerife-gran-canaria,Tenerife-Gran Canaria,2.75,,
tenerife-la-gomera-la-palma,Tenerife-La Gomera-La Palma,5.55,,
tenerife-la-palma,Tenerife-La Palma,,,
terra-sw,TERRA SW,,,
thailand-indonesia-singapore-tis,Thailand-Indonesia-Singapore (TIS),36,0.03,
the-east-african-marine-system-teams,The East African Marine System (TEAMS),130,1.28,
tobrok-emasaed-cable-system,Tobrok-Emasaed Cable System,,,
tokelau-submarine-cable,Tokelau Submarine Cable,6.25,,2
tonga-cable,Tonga Cable,,,
tonga-domestic-cable-extension-tdce,Tonga Domestic Cable Extension (TDCE),10.5,40,2
topaz,Topaz,,,
trans-caspian-fiber-optic-tcfo,Trans Caspian Fiber Optic (TCFO),,,
trans-pacific-express-tpe-cable-system,Trans-Pacific Express (TPE) Cable System,440,25.6,4
transcan-2,TRANSCAN-2,,,
transcan-3,TRANSCAN-3,5.25,,
transworld-tw1,Transworld (TW1),40,1.28,
trapani-kelibia,Trapani-Kelibia,5.225,,
tt-1,TT-1,1.2,,
tui-samoa,Tui-Samoa,32.5,17.6,2
turcyos-1,Turcyos-1,,,
turcyos-2,Turcyos-2,5.325,,
tverrlinken,Tverrlinken,,,
uae-iran,UAE-Iran,4.25,,
ugarit,UGARIT,16,0.000622,
uk-channel-islands-7,UK-Channel Islands-7,9.088,0.0025,
uk-channel-islands-8,UK-Channel Islands-8,16.263,0.000155,
ultramar-ge,Ultramar GE,6.575,,
ulysses-2,Ulysses 2,,,
unisur,Unisur,74,0.00056,
unityeac-pacific,Unity/EAC-Pacific,300,76.8,8
venezuelan-festoon,Venezuelan Festoon,,,
wall-li,WALL-LI,3.125,,96
west-africa-cable-system-wacs,West Africa Cable System (WACS),600,14.5,4
x-link-submarine-cable,X-Link Submarine Cable,19.375,,
yellow,Yellow,,,
zeus,Zeus,,4000,192
